word,drm_list,cb_list,position,item,list_BAS,list_valence,list_arousal,valence,arousal,emotion
money,thief,A,5,target,NaN,3.43,5.42,NaN,NaN,negative
cop,thief,A,6,target,NaN,3.43,5.42,NaN,NaN,negative
police,thief,A,7,target,NaN,3.43,5.42,NaN,NaN,negative
rob,thief,A,8,target,NaN,3.43,5.42,NaN,NaN,negative
jail,thief,A,9,target,NaN,3.43,5.42,NaN,NaN,negative
villain,thief,A,10,target,NaN,3.43,5.42,NaN,NaN,negative
crime,thief,A,11,related,NaN,3.43,5.42,NaN,NaN,negative
smoke,smoke,A,0,critical,NaN,NaN,NaN,3.44,5,negative
cigarette,smoke,A,1,target,NaN,NaN,NaN,NaN,NaN,negative
puff,smoke,A,2,target,NaN,NaN,NaN,NaN,NaN,negative
blaze,smoke,A,3,target,NaN,NaN,NaN,NaN,NaN,negative
pollution,smoke,A,4,target,NaN,NaN,NaN,NaN,NaN,negative
ashes,smoke,A,5,target,NaN,NaN,NaN,NaN,NaN,negative
cigar,smoke,A,6,target,NaN,NaN,NaN,NaN,NaN,negative
chimney,smoke,A,7,target,NaN,NaN,NaN,NaN,NaN,negative
flames,smoke,A,8,target,NaN,NaN,NaN,NaN,NaN,negative
tobacco,smoke,A,9,target,NaN,NaN,NaN,NaN,NaN,negative
stink,smoke,A,10,target,NaN,NaN,NaN,NaN,NaN,negative
pipe,smoke,A,11,related,NaN,NaN,NaN,NaN,NaN,negative
hair,hair,A,0,critical,NaN,NaN,NaN,6.18,3.71,neutral
curl,hair,A,1,target,NaN,NaN,NaN,NaN,NaN,neutral
scalp,hair,A,2,target,NaN,NaN,NaN,NaN,NaN,neutral
lice,hair,A,3,target,NaN,NaN,NaN,NaN,NaN,neutral
conditioner,hair,A,4,target,NaN,NaN,NaN,NaN,NaN,neutral
comb,hair,A,5,target,NaN,NaN,NaN,NaN,NaN,neutral
headband,hair,A,6,target,NaN,NaN,NaN,NaN,NaN,neutral
ponytail,hair,A,7,target,NaN,NaN,NaN,NaN,NaN,neutral
gel,hair,A,8,target,NaN,NaN,NaN,NaN,NaN,neutral
bald,hair,A,9,target,NaN,NaN,NaN,NaN,NaN,neutral
straight,hair,A,10,target,NaN,NaN,NaN,NaN,NaN,neutral
brush,hair,A,11,related,NaN,NaN,NaN,NaN,NaN,neutral
cold,cold,A,0,critical,NaN,NaN,NaN,4.32,3.55,neutral
hot,cold,A,1,target,NaN,NaN,NaN,NaN,NaN,neutral
snow,cold,A,2,target,NaN,NaN,NaN,NaN,NaN,neutral
warm,cold,A,3,target,NaN,NaN,NaN,NaN,NaN,neutral
freeze,cold,A,4,target,NaN,NaN,NaN,NaN,NaN,neutral
ice,cold,A,5,target,NaN,NaN,NaN,NaN,NaN,neutral
wet,cold,A,6,target,NaN,NaN,NaN,NaN,NaN,neutral
frigid,cold,A,7,target,NaN,NaN,NaN,NaN,NaN,neutral
frosty,cold,A,8,target,NaN,NaN,NaN,NaN,NaN,neutral
heat,cold,A,9,target,NaN,NaN,NaN,NaN,NaN,neutral
weather,cold,A,10,target,NaN,NaN,NaN,NaN,NaN,neutral
shiver,cold,A,11,related,NaN,NaN,NaN,NaN,NaN,neutral
chair,chair,A,0,critical,NaN,NaN,NaN,5.89,2.86,neutral
