word,drm_list,cb_list,position,item,list_BAS,list_valence,list_arousal,valence,arousal,emotion
fire,danger,B,8,target,NaN,4.1,5.19,NaN,NaN,negative
accident,danger,B,9,target,NaN,4.1,5.19,NaN,NaN,negative
harmful,danger,B,10,target,NaN,4.1,5.19,NaN,NaN,negative
hazard,danger,B,11,related,NaN,4.1,5.19,NaN,NaN,negative
lie,lie,B,0,critical,0.26,6.35,4.92,2.39,4.81,negative
deceive,lie,B,1,target,0.26,6.35,4.92,NaN,NaN,negative
deception,lie,B,2,target,0.26,6.35,4.92,NaN,NaN,negative
cheat,lie,B,3,target,0.26,6.35,4.92,NaN,NaN,negative
untruthful,lie,B,4,target,0.26,6.35,4.92,NaN,NaN,negative
dishonest,lie,B,5,target,0.26,6.35,4.92,NaN,NaN,negative
mislead,lie,B,6,target,0.26,6.35,4.92,NaN,NaN,negative
false,lie,B,7,target,0.26,6.35,4.92,NaN,NaN,negative
betray,lie,B,8,target,0.26,6.35,4.92,NaN,NaN,negative
trick,lie,B,9,target,0.26,6.35,4.92,NaN,NaN,negative
conceal,lie,B,10,target,0.26,6.35,4.92,NaN,NaN,negative
pretend,lie,B,11,related,0.26,6.35,4.92,NaN,NaN,negative
failure,failure,B,0,critical,NaN,NaN,NaN,2.15,5,negative
success,failure,B,1,target,NaN,NaN,NaN,NaN,NaN,negative
exam,failure,B,2,target,NaN,NaN,NaN,NaN,NaN,negative
pass,failure,B,3,target,NaN,NaN,NaN,NaN,NaN,negative
loss,failure,B,4,target,NaN,NaN,NaN,NaN,NaN,negative
breakdown,failure,B,5,target,NaN,NaN,NaN,NaN,NaN,negative
crisis,failure,B,6,target,NaN,NaN,NaN,NaN,NaN,negative
degree,failure,B,7,target,NaN,NaN,NaN,NaN,NaN,negative
fail,failure,B,8,target,NaN,NaN,NaN,NaN,NaN,negative
fault,failure,B,9,target,NaN,NaN,NaN,NaN,NaN,negative
flop,failure,B,10,target,NaN,NaN,NaN,NaN,NaN,negative
inadequate,failure,B,11,related,NaN,NaN,NaN,NaN,NaN,negative
dirt,dirt,B,0,critical,NaN,4.93,3.62,4.5,3.44,negative
mud,dirt,B,1,target,NaN,4.93,3.62,NaN,NaN,negative
sand,dirt,B,2,target,NaN,4.93,3.62,NaN,NaN,negative
clean,dirt,B,3,target,NaN,4.93,3.62,NaN,NaN,negative
soil,dirt,B,4,target,NaN,4.93,3.62,NaN,NaN,negative
dirty,dirt,B,5,target,NaN,4.93,3.62,NaN,NaN,negative
filth,dirt,B,6,target,NaN,4.93,3.62,NaN,NaN,negative
ground,dirt,B,7,target,NaN,4.93,3.62,NaN,NaN,negative
bath,dirt,B,8,target,NaN,4.93,3.62,NaN,NaN,negative
brown,dirt,B,9,target,NaN,4.93,3.62,NaN,NaN,negative
bike,dirt,B,10,target,NaN,4.93,3.62,NaN,NaN,negative
grease,dirt,B,11,related,NaN,4.93,3.62,NaN,NaN,negative
dead,dead,B,0,critical,NaN,3.98,4.41,2.02,3.91,negative
alive,dead,B,1,target,NaN,3.98,4.41,NaN,NaN,negative
gone,dead,B,2,target,NaN,3.98,4.41,NaN,NaN,negative
funeral,dead,B,3,target,NaN,3.98,4.41,NaN,NaN,negative
asleep,dead,B,4,target,NaN,3.98,4.41,NaN,NaN,negative
bury,dead,B,5,target,NaN,3.98,4.41,NaN,NaN,negative
end,dead,B,6,target,NaN,3.98,4.41,NaN,NaN,negative
grave,dead,B,7,target,NaN,3.98,4.41,NaN,NaN,negative
cemetery,dead,B,8,target,NaN,3.98,4.41,NaN,NaN,negative
still,dead,B,9,target,NaN,3.98,4.41,NaN,NaN,negative
animal,dead,B,10,target,NaN,3.98,4.41,NaN,NaN,negative
deceased,dead,B,11,related,NaN,3.98,4.41,NaN,NaN,negative
hurt,hurt,B,0,critical,0.23,3.33,4.99,2.45,4.72,negative
pain,hurt,B,1,target,0.23,3.33,4.99,NaN,NaN,negative
cut,hurt,B,2,target,0.23,3.33,4.99,NaN,NaN,negative
ouch,hurt,B,3,target,0.23,3.33,4.99,NaN,NaN,negative
injury,hurt,B,4,target,0.23,3.33,4.99,NaN,NaN,negative
harm,hurt,B,5,target,0.23,3.33,4.99,NaN,NaN,negative
hit,hurt,B,6,target,0.23,3.33,4.99,NaN,NaN,negative
sore,hurt,B,7,target,0.23,3.33,4.99,NaN,NaN,negative
stop,hurt,B,8,target,0.23,3.33,4.99,NaN,NaN,negative
wound,hurt,B,9,target,0.23,3.33,4.99,NaN,NaN,negative
ache,hurt,B,10,target,0.23,3.33,4.99,NaN,NaN,negative
bruised,hurt,B,11,related,0.23,3.33,4.99,NaN,NaN,negative
spider,spider,B,0,critical,NaN,4.11,5.13,3.35,6.91,negative
web,spider,B,1,target,NaN,4.11,5.13,NaN,NaN,negative
insect,spider,B,2,target,NaN,4.11,5.13,NaN,NaN,negative
bug,spider,B,3,target,NaN,4.11,5.13,NaN,NaN,negative
creepy,spider,B,4,target,NaN,4.11,5.13,NaN,NaN,negative
fly,spider,B,5,target,NaN,4.11,5.13,NaN,NaN,negative
arachnid,spider,B,6,target,NaN,4.11,5.13,NaN,NaN,negative
crawl,spider,B,7,target,NaN,4.11,5.13,NaN,NaN,negative
tarantula,spider,B,8,target,NaN,4.11,5.13,NaN,NaN,negative
poison,spider,B,9,target,NaN,4.11,5.13,NaN,NaN,negative
bite,spider,B,10,target,NaN,4.11,5.13,NaN,NaN,negative
feelers,spider,B,11,related,NaN,4.11,5.13,NaN,NaN,negative
shirt,shirt,B,0,critical,NaN,NaN,NaN,5.56,2.3,neutral
blouse,shirt,B,1,target,NaN,NaN,NaN,NaN,NaN,neutral
sleeves,shirt,B,2,target,NaN,NaN,NaN,NaN,NaN,neutral
pants,shirt,B,3,target,NaN,NaN,NaN,NaN,NaN,neutral
tie,shirt,B,4,target,NaN,NaN,NaN,NaN,NaN,neutral
button,shirt,B,5,target,NaN,NaN,NaN,NaN,NaN,neutral
shorts,shirt,B,6,target,NaN,NaN,NaN,NaN,NaN,neutral
iron,shirt,B,7,target,NaN,NaN,NaN,NaN,NaN,neutral
polo,shirt,B,8,target,NaN,NaN,NaN,NaN,NaN,neutral
collar,shirt,B,9,target,NaN,NaN,NaN,NaN,NaN,neutral
vest,shirt,B,10,target,NaN,NaN,NaN,NaN,NaN,neutral
pocket,shirt,B,11,related,NaN,NaN,NaN,NaN,NaN,neutral
fall,fall,B,0,critical,NaN,NaN,NaN,3.89,4.24,neutral
spring,fall,B,1,target,NaN,NaN,NaN,NaN,NaN,neutral
leaves,fall,B,2,target,NaN,NaN,NaN,NaN,NaN,neutral
winter,fall,B,3,target,NaN,NaN,NaN,NaN,NaN,neutral
autumn,fall,B,4,target,NaN,NaN,NaN,NaN,NaN,neutral
chilly,fall,B,5,target,NaN,NaN,NaN,NaN,NaN,neutral
summer,fall,B,6,target,NaN,NaN,NaN,NaN,NaN,neutral
cool,fall,B,7,target,NaN,NaN,NaN,NaN,NaN,neutral
trip,fall,B,8,target,NaN,NaN,NaN,NaN,NaN,neutral
drop,fall,B,9,target,NaN,NaN,NaN,NaN,NaN,neutral
holiday,fall,B,10,target,NaN,NaN,NaN,NaN,NaN,neutral
season,fall,B,11,related,NaN,NaN,NaN,NaN,NaN,neutral
window,window,B,0,critical,NaN,NaN,NaN,6.47,3.27,neutral
door,window,B,1,target,NaN,NaN,NaN,NaN,NaN,neutral
curtain,window,B,2,target,NaN,NaN,NaN,NaN,NaN,neutral
shut,window,B,3,target,NaN,NaN,NaN,NaN,NaN,neutral
sill,window,B,4,target,NaN,NaN,NaN,NaN,NaN,neutral
roof,window,B,5,target,NaN,NaN,NaN,NaN,NaN,neutral
house,window,B,6,target,NaN,NaN,NaN,NaN,NaN,neutral
open,window,B,7,target,NaN,NaN,NaN,NaN,NaN,neutral
balcony,window,B,8,target,NaN,NaN,NaN,NaN,NaN,neutral
frame,window,B,9,target,NaN,NaN,NaN,NaN,NaN,neutral
screen,window,B,10,target,NaN,NaN,NaN,NaN,NaN,neutral
view,window,B,11,related,NaN,NaN,NaN,NaN,NaN,neutral
mountain,mountain,B,0,critical,NaN,NaN,NaN,6.65,4.12,neutral
hill,mountain,B,1,target,NaN,NaN,NaN,NaN,NaN,neutral
valley,mountain,B,2,target,NaN,NaN,NaN,NaN,NaN,neutral
climb,mountain,B,3,target,NaN,NaN,NaN,NaN,NaN,neutral
top,mountain,B,4,target,NaN,NaN,NaN,NaN,NaN,neutral
Alps,mountain,B,5,target,NaN,NaN,NaN,NaN,NaN,neutral
peak,mountain,B,6,target,NaN,NaN,NaN,NaN,NaN,neutral
glacier,mountain,B,7,target,NaN,NaN,NaN,NaN,NaN,neutral
steep,mountain,B,8,target,NaN,NaN,NaN,NaN,NaN,neutral
goat,mountain,B,9,target,NaN,NaN,NaN,NaN,NaN,neutral
climber,mountain,B,10,target,NaN,NaN,NaN,NaN,NaN,neutral
ski,mountain,B,11,related,NaN,NaN,NaN,NaN,NaN,neutral
city,city,B,0,critical,NaN,NaN,NaN,6.12,5.08,neutral
town,city,B,1,target,NaN,NaN,NaN,NaN,NaN,neutral
crowded,city,B,2,target,NaN,NaN,NaN,NaN,NaN,neutral
state,city,B,3,target,NaN,NaN,NaN,NaN,NaN,neutral
capital,city,B,4,target,NaN,NaN,NaN,NaN,NaN,neutral
streets,city,B,5,target,NaN,NaN,NaN,NaN,NaN,neutral
subway,city,B,6,target,NaN,NaN,NaN,NaN,NaN,neutral
country,city,B,7,target,NaN,NaN,NaN,NaN,NaN,neutral
New York,city,B,8,target,NaN,NaN,NaN,NaN,NaN,neutral
village,city,B,9,target,NaN,NaN,NaN,NaN,NaN,neutral
metropolis,city,B,10,target,NaN,NaN,NaN,NaN,NaN,neutral
suburb,city,B,11,related,NaN,NaN,NaN,NaN,NaN,neutral
flag,flag,B,0,critical,NaN,NaN,NaN,6.1,3.74,neutral
national,flag,B,1,target,NaN,NaN,NaN,NaN,NaN,neutral
American,flag,B,2,target,NaN,NaN,NaN,NaN,NaN,neutral
symbol,flag,B,3,target,NaN,NaN,NaN,NaN,NaN,neutral
stars,flag,B,4,target,NaN,NaN,NaN,NaN,NaN,neutral
anthem,flag,B,5,target,NaN,NaN,NaN,NaN,NaN,neutral
stripes,flag,B,6,target,NaN,NaN,NaN,NaN,NaN,neutral
pole,flag,B,7,target,NaN,NaN,NaN,NaN,NaN,neutral
wave,flag,B,8,target,NaN,NaN,NaN,NaN,NaN,neutral
raised,flag,B,9,target,NaN,NaN,NaN,NaN,NaN,neutral
banner,flag,B,10,target,NaN,NaN,NaN,NaN,NaN,neutral
sign,flag,B,11,related,NaN,NaN,NaN,NaN,NaN,neutral
pen,pen,B,0,critical,NaN,NaN,NaN,5.63,2.75,neutral
pencil,pen,B,1,target,NaN,NaN,NaN,NaN,NaN,neutral
write,pen,B,2,target,NaN,NaN,NaN,NaN,NaN,neutral
quill,pen,B,3,target,NaN,NaN,NaN,NaN,NaN,neutral
Bic,pen,B,4,target,NaN,NaN,NaN,NaN,NaN,neutral
scribble,pen,B,5,target,NaN,NaN,NaN,NaN,NaN,neutral
crayon,pen,B,6,target,NaN,NaN,NaN,NaN,NaN,neutral
tip,pen,B,7,target,NaN,NaN,NaN,NaN,NaN,neutral
marker,pen,B,8,target,NaN,NaN,NaN,NaN,NaN,neutral
letter,pen,B,9,target,NaN,NaN,NaN,NaN,NaN,neutral
paper,pen,B,10,target,NaN,NaN,NaN,NaN,NaN,neutral
ink,pen,B,11,related,NaN,NaN,NaN,NaN,NaN,neutral
glass,glass,B,0,critical,NaN,NaN,NaN,5.48,3.14,neutral
bottle,glass,B,1,target,NaN,NaN,NaN,NaN,NaN,neutral
cup,glass,B,2,target,NaN,NaN,NaN,NaN,NaN,neutral
drink,glass,B,3,target,NaN,NaN,NaN,NaN,NaN,neutral
break,glass,B,4,target,NaN,NaN,NaN,NaN,NaN,neutral
clear,glass,B,5,target,NaN,NaN,NaN,NaN,NaN,neutral
jar,glass,B,6,target,NaN,NaN,NaN,NaN,NaN,neutral
crystal,glass,B,7,target,NaN,NaN,NaN,NaN,NaN,neutral
mug,glass,B,8,target,NaN,NaN,NaN,NaN,NaN,neutral
fragile,glass,B,9,target,NaN,NaN,NaN,NaN,NaN,neutral
sharp,glass,B,10,target,NaN,NaN,NaN,NaN,NaN,neutral
plastic,glass,B,11,related,NaN,NaN,NaN,NaN,NaN,neutral
lion,lion,B,0,critical,NaN,NaN,NaN,5.84,5.29,neutral
tiger,lion,B,1,target,NaN,NaN,NaN,NaN,NaN,neutral
circus,lion,B,2,target,NaN,NaN,NaN,NaN,NaN,neutral
jungle,lion,B,3,target,NaN,NaN,NaN,NaN,NaN,neutral
tamer,lion,B,4,target,NaN,NaN,NaN,NaN,NaN,neutral
leopard,lion,B,5,target,NaN,NaN,NaN,NaN,NaN,neutral
Africa,lion,B,6,target,NaN,NaN,NaN,NaN,NaN,neutral
mane,lion,B,7,target,NaN,NaN,NaN,NaN,NaN,neutral
cage,lion,B,8,target,NaN,NaN,NaN,NaN,NaN,neutral
feline,lion,B,9,target,NaN,NaN,NaN,NaN,NaN,neutral
pride,lion,B,10,target,NaN,NaN,NaN,NaN,NaN,neutral
roar,lion,B,11,related,NaN,NaN,NaN,NaN,NaN,neutral
excel,excel,B,0,critical,NaN,NaN,NaN,5.95,4.85,positive
brilliant,excel,B,1,target,NaN,NaN,NaN,NaN,NaN,positive
achieve,excel,B,2,target,NaN,NaN,NaN,NaN,NaN,positive
best,excel,B,3,target,NaN,NaN,NaN,NaN,NaN,positive
exceed,excel,B,4,target,NaN,NaN,NaN,NaN,NaN,positive
win,excel,B,5,target,NaN,NaN,NaN,NaN,NaN,positive
correct,excel,B,6,target,NaN,NaN,NaN,NaN,NaN,positive
elite,excel,B,7,target,NaN,NaN,NaN,NaN,NaN,positive
excess,excel,B,8,target,NaN,NaN,NaN,NaN,NaN,positive
overtop,excel,B,9,target,NaN,NaN,NaN,NaN,NaN,positive
honorable,excel,B,10,target,NaN,NaN,NaN,NaN,NaN,positive
better,excel,B,11,related,NaN,NaN,NaN,NaN,NaN,positive
happy,happy,B,0,critical,NaN,NaN,NaN,8.47,6.05,positive
glad,happy,B,1,target,NaN,NaN,NaN,NaN,NaN,positive
pleased,happy,B,2,target,NaN,NaN,NaN,NaN,NaN,positive
joyful,happy,B,3,target,NaN,NaN,NaN,NaN,NaN,positive
content,happy,B,4,target,NaN,NaN,NaN,NaN,NaN,positive
elated,happy,B,5,target,NaN,NaN,NaN,NaN,NaN,positive
satisfied,happy,B,6,target,NaN,NaN,NaN,NaN,NaN,positive
laugh,happy,B,7,target,NaN,NaN,NaN,NaN,NaN,positive
enjoyment,happy,B,8,target,NaN,NaN,NaN,NaN,NaN,positive
ecstatic,happy,B,9,target,NaN,NaN,NaN,NaN,NaN,positive
enjoyable,happy,B,10,target,NaN,NaN,NaN,NaN,NaN,positive
blissful,happy,B,11,related,NaN,NaN,NaN,NaN,NaN,positive
grass,grass,B,0,critical,NaN,NaN,NaN,6.47,3.39,positive
lawn,grass,B,1,target,NaN,NaN,NaN,NaN,NaN,positive
mow,grass,B,2,target,NaN,NaN,NaN,NaN,NaN,positive
pot,grass,B,3,target,NaN,NaN,NaN,NaN,NaN,positive
weed,grass,B,4,target,NaN,NaN,NaN,NaN,NaN,positive
grow,grass,B,5,target,NaN,NaN,NaN,NaN,NaN,positive
mower,grass,B,6,target,NaN,NaN,NaN,NaN,NaN,positive
roots,grass,B,7,target,NaN,NaN,NaN,NaN,NaN,positive
yard,grass,B,8,target,NaN,NaN,NaN,NaN,NaN,positive
meadow,grass,B,9,target,NaN,NaN,NaN,NaN,NaN,positive
planting,grass,B,10,target,NaN,NaN,NaN,NaN,NaN,positive
hopper,grass,B,11,related,NaN,NaN,NaN,NaN,NaN,positive
fish,fish,B,0,critical,NaN,NaN,NaN,6.42,3.33,positive
sea,fish,B,1,target,NaN,NaN,NaN,NaN,NaN,positive
scales,fish,B,2,target,NaN,NaN,NaN,NaN,NaN,positive
smelly,fish,B,3,target,NaN,NaN,NaN,NaN,NaN,positive
food,fish,B,4,target,NaN,NaN,NaN,NaN,NaN,positive
salmon,fish,B,5,target,NaN,NaN,NaN,NaN,NaN,positive
gold,fish,B,6,target,NaN,NaN,NaN,NaN,NaN,positive
fry,fish,B,7,target,NaN,NaN,NaN,NaN,NaN,positive
shark,fish,B,8,target,NaN,NaN,NaN,NaN,NaN,positive
tank,fish,B,9,target,NaN,NaN,NaN,NaN,NaN,positive
bowl,fish,B,10,target,NaN,NaN,NaN,NaN,NaN,positive
tuna,fish,B,11,related,NaN,NaN,NaN,NaN,NaN,positive
beautiful,beautiful,B,0,critical,NaN,NaN,NaN,7.61,5.71,positive
stunning,beautiful,B,1,target,NaN,NaN,NaN,NaN,NaN,positive
elegant,beautiful,B,2,target,NaN,NaN,NaN,NaN,NaN,positive
breathtaking,beautiful,B,3,target,NaN,NaN,NaN,NaN,NaN,positive
lovely,beautiful,B,4,target,NaN,NaN,NaN,NaN,NaN,positive
exquisite,beautiful,B,5,target,NaN,NaN,NaN,NaN,NaN,positive
striking,beautiful,B,6,target,NaN,NaN,NaN,NaN,NaN,positive
pleasing,beautiful,B,7,target,NaN,NaN,NaN,NaN,NaN,positive
graceful,beautiful,B,8,target,NaN,NaN,NaN,NaN,NaN,positive
handsome,beautiful,B,9,target,NaN,NaN,NaN,NaN,NaN,positive
aesthetical,beautiful,B,10,target,NaN,NaN,NaN,NaN,NaN,positive
good-looking,beautiful,B,11,related,NaN,NaN,NaN,NaN,NaN,positive
gentle,gentle,B,0,critical,NaN,NaN,NaN,7.42,3.17,positive
caring,gentle,B,1,target,NaN,NaN,NaN,NaN,NaN,positive
tender,gentle,B,2,target,NaN,NaN,NaN,NaN,NaN,positive
soothing,gentle,B,3,target,NaN,NaN,NaN,NaN,NaN,positive
hearted,gentle,B,4,target,NaN,NaN,NaN,NaN,NaN,positive
mild,gentle,B,5,target,NaN,NaN,NaN,NaN,NaN,positive
quiet,gentle,B,6,target,NaN,NaN,NaN,NaN,NaN,positive
smooth,gentle,B,7,target,NaN,NaN,NaN,NaN,NaN,positive
attentive,gentle,B,8,target,NaN,NaN,NaN,NaN,NaN,positive
nurture,gentle,B,9,target,NaN,NaN,NaN,NaN,NaN,positive
thoughtful,gentle,B,10,target,NaN,NaN,NaN,NaN,NaN,positive
reassuring,gentle,B,11,related,NaN,NaN,NaN,NaN,NaN,positive
admire,admire,B,0,critical,NaN,NaN,NaN,7.35,5,positive
respect,admire,B,1,target,NaN,NaN,NaN,NaN,NaN,positive
envy,admire,B,2,target,NaN,NaN,NaN,NaN,NaN,positive
her,admire,B,3,target,NaN,NaN,NaN,NaN,NaN,positive
idol,admire,B,4,target,NaN,NaN,NaN,NaN,NaN,positive
them,admire,B,5,target,NaN,NaN,NaN,NaN,NaN,positive
admiral,admire,B,6,target,NaN,NaN,NaN,NaN,NaN,positive
cherish,admire,B,7,target,NaN,NaN,NaN,NaN,NaN,positive
worship,admire,B,8,target,NaN,NaN,NaN,NaN,NaN,positive
hero,admire,B,9,target,NaN,NaN,NaN,NaN,NaN,positive
fancy,admire,B,10,target,NaN,NaN,NaN,NaN,NaN,positive
glorify,admire,B,11,related,NaN,NaN,NaN,NaN,NaN,positive
sleep,sleep,B,0,critical,NaN,NaN,NaN,7.22,3.6,positive
bed,sleep,B,1,target,NaN,NaN,NaN,NaN,NaN,positive
rest,sleep,B,2,target,NaN,NaN,NaN,NaN,NaN,positive
awake,sleep,B,3,target,NaN,NaN,NaN,NaN,NaN,positive
tired,sleep,B,4,target,NaN,NaN,NaN,NaN,NaN,positive
dream,sleep,B,5,target,NaN,NaN,NaN,NaN,NaN,positive
wake,sleep,B,6,target,NaN,NaN,NaN,NaN,NaN,positive
snooze,sleep,B,7,target,NaN,NaN,NaN,NaN,NaN,positive
doze,sleep,B,8,target,NaN,NaN,NaN,NaN,NaN,positive
nap,sleep,B,9,target,NaN,NaN,NaN,NaN,NaN,positive
snore,sleep,B,10,target,NaN,NaN,NaN,NaN,NaN,positive
drowsy,sleep,B,11,related,NaN,NaN,NaN,NaN,NaN,positive
music,music,B,0,critical,0.23,NaN,NaN,7.67,5.57,positive
note,music,B,1,target,0.23,NaN,NaN,NaN,NaN,positive
sound,music,B,2,target,0.23,NaN,NaN,NaN,NaN,positive
piano,music,B,3,target,0.23,NaN,NaN,NaN,NaN,positive
sing,music,B,4,target,0.23,NaN,NaN,NaN,NaN,positive
radio,music,B,5,target,0.23,NaN,NaN,NaN,NaN,positive
band,music,B,6,target,0.23,NaN,NaN,NaN,NaN,positive
melody,music,B,7,target,0.23,NaN,NaN,NaN,NaN,positive
trumpet,music,B,8,target,0.23,NaN,NaN,NaN,NaN,positive
concert,music,B,9,target,0.23,NaN,NaN,NaN,NaN,positive
instrument,music,B,10,target,0.23,NaN,NaN,NaN,NaN,positive
symphony,music,B,11,related,0.23,NaN,NaN,NaN,NaN,positive
bankrupt,none,B,NaN,unrelated,NaN,NaN,NaN,2.21,5.49,negative
jealous,none,B,NaN,unrelated,NaN,NaN,NaN,2.38,5.9,negative
junkie,none,B,NaN,unrelated,NaN,NaN,NaN,2.5,4.62,negative
revolting,none,B,NaN,unrelated,NaN,NaN,NaN,2.47,5.9,negative
separation,none,B,NaN,unrelated,NaN,NaN,NaN,3.05,3.67,negative
nuisance,none,B,NaN,unrelated,NaN,NaN,NaN,3,4.7,negative
unprofessional,none,B,NaN,unrelated,NaN,NaN,NaN,2.71,4.71,negative
monsoon,none,B,NaN,unrelated,NaN,NaN,NaN,2.85,4.5,negative
deviant,none,B,NaN,unrelated,NaN,NaN,NaN,3.35,5.62,negative
cabbage,cabbage,B,NaN,unrelated,NaN,NaN,NaN,4.6,2.91,neutral
tooth,none,B,NaN,unrelated,NaN,NaN,NaN,5.06,3.52,neutral
seminar,none,B,NaN,unrelated,NaN,NaN,NaN,5.2,3.74,neutral
exact,none,B,NaN,unrelated,NaN,NaN,NaN,5.58,3.95,neutral
clerk,none,B,NaN,unrelated,NaN,NaN,NaN,4.76,3.85,neutral
guide,none,B,NaN,unrelated,NaN,NaN,NaN,5.43,3.33,neutral
license,none,B,NaN,unrelated,NaN,NaN,NaN,5.91,4.7,neutral
literal,none,B,NaN,unrelated,NaN,NaN,NaN,5.84,4.35,neutral
outlet,none,B,NaN,unrelated,NaN,NaN,NaN,5.45,3.5,neutral
decoration,none,B,NaN,unrelated,NaN,NaN,NaN,6.71,4.05,positive
college,none,B,NaN,unrelated,NaN,NaN,NaN,6.44,4,positive
berry,none,B,NaN,unrelated,NaN,NaN,NaN,7.11,3.23,positive
wish,wish,B,NaN,unrelated,NaN,NaN,NaN,7.14,3.38,positive
fortune,none,B,NaN,unrelated,NaN,NaN,NaN,7.24,5.8,positive
liberty,none,B,NaN,unrelated,NaN,NaN,NaN,7.2,4.5,positive
surprise,none,B,NaN,unrelated,NaN,NaN,NaN,7.44,6.57,positive
shower,none,B,NaN,unrelated,NaN,NaN,NaN,7.19,4.15,positive
energetic,none,B,NaN,unrelated,NaN,NaN,NaN,7.57,6.1,positive
